"Threshold","OR","ci_hi","ci_low","pval_assoc_with_outcome","AUC_CI","study"
"Genome-wide Significant",1.22471271949703,1.25657685505085,1.19365659113394,5.7e-54,"0.748[0.736;0.760]","MVP-DBP"
"Selected CV-PRS",1.37785945709882,1.43566503037447,1.32238136567376,9.4e-53,"0.754[0.741;0.767]","MVP-DBP"
"Selected PVAL-PRS",1.37593904838347,1.43367357467082,1.32052951125999,2.7e-52,"0.744[0.733;0.757]","MVP-DBP"
"Genome-wide Significant",1.27458963010545,1.30572486706171,1.24419681829922,2e-86,"0.751[0.738;0.763]","MVP-SBP"
"Selected CV-PRS",1.77922143984586,1.8782165087404,1.68544409937604,1.3e-96,"0.757[0.744;0.771]","MVP-SBP"
"Selected PVAL-PRS",1.58704798429375,1.6549853454846,1.52189946051356,1.9e-103,"0.750[0.737;0.762]","MVP-SBP"
"Genome-wide Significant",1.31547586611466,1.34648468160683,1.28518116690718,1e-117,"0.755[0.742;0.767]","UKBB-HTN"
"Selected CV-PRS",1.50271130024254,1.54882818589674,1.45796756053299,1.1e-153,"0.763[0.750;0.775]","UKBB-HTN"
"Selected PVAL-PRS",1.5077847893766,1.55284348112474,1.46403356082532,1.7e-164,"0.754[0.742;0.766]","UKBB-HTN"
"Genome-wide Significant",1.37110020264998,1.40549845008126,1.33754381984422,1.5e-137,"0.757[0.744;0.769]","PRSsum"
"Selected CV-PRS",2.09793672475856,2.20653000469811,1.99468780923866,4.3e-182,"0.764[0.751;0.777]","PRSsum"
"Selected PVAL-PRS",1.95147741110128,2.03937495793173,1.86736826949214,2.1e-194,"0.756[0.743;0.769]","PRSsum"
